latitude,longitude,risorsa
38.112704,13.378536,23960498297
38.113295,13.378493,23962250567
38.112704,13.378536,23962313127
38.112704,13.378536,23983458577
38.115617,13.374996,24005459107
38.119061,13.367271,24091794518
38.117508,13.373665,24209172018
38.125619,13.365833,24254932888
38.125501,13.368065,24256637448
38.120284,13.369545,24408262328
38.132328,13.362936,24408433498
38.118070,13.375682,24409782298
38.125619,13.365833,24410244438
38.132058,13.373322,24513540388
38.132058,13.373322,24513735118
38.112213,13.352615,24514126988
38.119753,13.371337,24537517068
38.135400,13.369116,24538921528
38.111624,13.368258,24539149868
38.130176,13.363623,24539173958
38.132328,13.362936,24539366888
38.110266,13.364996,24539371248
38.121120,13.370704,24540188788
38.119297,13.369009,24540337488
38.122504,13.380188,24540400498
38.121120,13.370704,24540694658
38.115980,13.351317,24540719758
38.123213,13.372421,24540814148
38.117508,13.373665,24540922888
38.109320,13.355040,24540980828
38.109658,13.358473,24541357148
38.131957,13.370060,24561600048
38.111835,13.351650,24562133978
38.111092,13.349869,24562171198
38.121390,13.357315,24581695538
38.123956,13.356049,24581934608
38.115726,13.361413,24663686398
38.115415,13.362078,24664911248
38.115169,13.365104,24722842768
38.113810,13.355684,24723531748
38.124581,13.355748,24723722448
38.117965,13.368000,24803009958
38.118402,13.367807,24822085338
38.121137,13.357357,24824204198
38.117448,13.362808,24824688528
38.119331,13.362218,24845796148
38.129695,13.362421,24845878818
38.109606,13.379491,24846812258
38.112704,13.378536,24954547798
38.115617,13.374996,24954625178
38.112704,13.378536,24976040928
38.115591,13.364567,25504183677
38.115355,13.364599,25504289757
38.115853,13.364535,25504326307
38.118554,13.372099,25505293117
38.118335,13.372313,25505431387
38.117744,13.372828,25505803237
38.107356,13.371230,25623733247
38.111815,13.379029,25761133747
38.119221,13.367174,26260065599
38.119221,13.367174,26260490989
38.121120,13.370704,26331713639
38.125501,13.368065,26332269479
38.125619,13.365833,26332464669
38.119221,13.367174,26482143179
38.127332,13.365780,26482215229
38.127332,13.365780,26503200939
38.117727,13.372614,26505545768
38.118284,13.372313,26506520138
38.132328,13.362936,26506565929
38.117659,13.372657,26506583428
38.120073,13.373343,26506640178
38.116984,13.341050,26512935687
38.119659,13.368708,26524640918
38.118689,13.374545,26545516938
38.121120,13.370704,26609011779
38.131957,13.370060,26609388289
38.115590,13.374180,26623047728
38.115725,13.372421,26623380118
38.131327,13.351253,26623991258
38.120631,13.366413,26624173348
38.119753,13.371337,26632645749
38.128412,13.374309,26634396369
38.128412,13.374309,26635296469
38.115836,13.351210,26635522059
38.121120,13.370704,26635540409
38.123213,13.372421,26635650069
38.109320,13.361391,26635916489
38.115726,13.361413,26655930469
38.115726,13.361413,26656123879
38.115726,13.361413,26656336329
38.110214,13.347873,26656928999
38.115726,13.361413,26658068789
38.115415,13.362078,26761650709
38.115415,13.362078,26761678939
38.110790,13.350147,26761940129
38.110418,13.350491,26780712359
38.129982,13.352057,26802185339
38.119264,13.362614,26818027619
38.119264,13.362614,26818081559
38.124513,13.355770,26819150019
38.117558,13.342080,26844418977
38.124581,13.355748,26897772059
38.129982,13.352057,26897900399
38.125374,13.355083,26898043649
38.129982,13.352057,26898114109
38.124581,13.355748,26898240629
38.117965,13.368000,26899592519
38.120217,13.358420,26900376129
