title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,risorsa
Palermo – S. Erasmo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,328,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (328),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,23960498297
Palermo - Sant'Erasmo - Arrivo del tonno  - II.,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,332,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (332),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,23962250567
Palermo – Piccolo Porto S. Erasmo III.,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,334,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (334),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,23962313127
Nel Porto di Palermo,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,344,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (344),CC BY SA 4.0,"Foro Umberto I, Palermo",Palermo,23983458577
Palermo - Foro Italico e Antemurale,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,348,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (348),CC BY SA 4.0,"Foro Umberto I, Palermo",Palermo,24005459107
Cala e Monte Pellegrino,"Dr. Trenkler Co, Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,2,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (2),CC BY SA 4.0,"Cala, Castello a Mare, Monte Pellegrino, Palermo",Palermo,24091794518
Palermo - Foro Umberto I e Monte Pellegrino,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,25,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (25),CC BY SA 4.0,"La Cala, Foro Umberto I, Foro Italico, tempietto della musica, la Marina, Monte Pellegrino, porto, Palermo",Palermo,24209172018
Il Porto Nuovo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,32,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (32),CC BY SA 4.0,"Porto nuovo, molo, banchina, Palermo",Palermo,24254932888
Palermo - Porto,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,35,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (35),CC BY SA 4.0,"Porto, barche, molo, banchina, navi, Palermo",Palermo,24256637448
Nel porto di Palermo,Z.B.,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,42,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (42),CC BY SA 4.0,"Porto, barche, canottieri, navi, Palermo",Palermo,24408262328
