risorsa,url,title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,latitude,longitude,href
23960498297,https://farm5.staticflickr.com/4578/23960498297_04829832e4_o.jpg,Palermo – S. Erasmo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,328,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (328),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,38.112704,13.378536,https://www.flickr.com/photos/biblioteca-comunale-palermo/23960498297
23962250567,https://farm5.staticflickr.com/4520/23962250567_f9b9c25519_o.jpg,Palermo - Sant'Erasmo - Arrivo del tonno - II.,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,332,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (332),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,38.113295,13.378493,https://www.flickr.com/photos/biblioteca-comunale-palermo/23962250567
23962313127,https://farm5.staticflickr.com/4563/23962313127_d4e25bb319_o.jpg,Palermo – Piccolo Porto S. Erasmo III.,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,334,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (334),CC BY SA 4.0,"Porticciolo di Sant'Erasmo, Palermo",Palermo,38.112704,13.378536,https://www.flickr.com/photos/biblioteca-comunale-palermo/23962313127
23983458577,https://farm5.staticflickr.com/4578/23983458577_43b3317a20_o.jpg,Nel Porto di Palermo,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,344,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (344),CC BY SA 4.0,"Foro Umberto I, Palermo",Palermo,38.112704,13.378536,https://www.flickr.com/photos/biblioteca-comunale-palermo/23983458577
24005459107,https://farm5.staticflickr.com/4544/24005459107_6f5e02a64e_o.jpg,Palermo - Foro Italico e Antemurale,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,348,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (348),CC BY SA 4.0,"Foro Umberto I, Palermo",Palermo,38.115617,13.374996,https://www.flickr.com/photos/biblioteca-comunale-palermo/24005459107
24091794518,https://farm5.staticflickr.com/4483/24091794518_f727a56a46_o.jpg,Cala e Monte Pellegrino,"Dr. Trenkler Co, Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,2,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (2),CC BY SA 4.0,"Cala, Castello a Mare, Monte Pellegrino, Palermo",Palermo,38.119061,13.367271,https://www.flickr.com/photos/biblioteca-comunale-palermo/24091794518
24209172018,https://farm5.staticflickr.com/4476/24209172018_3baeb62b93_o.jpg,Palermo - Foro Umberto I e Monte Pellegrino,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,25,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (25),CC BY SA 4.0,"La Cala, Foro Umberto I, Foro Italico, tempietto della musica, la Marina, Monte Pellegrino, porto, Palermo",Palermo,38.117508,13.373665,https://www.flickr.com/photos/biblioteca-comunale-palermo/24209172018
24254932888,https://farm5.staticflickr.com/4503/24254932888_52cd8f876f_o.jpg,Il Porto Nuovo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,32,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (32),CC BY SA 4.0,"Porto nuovo, molo, banchina, Palermo",Palermo,38.125619,13.365833,https://www.flickr.com/photos/biblioteca-comunale-palermo/24254932888
24256637448,https://farm5.staticflickr.com/4444/24256637448_64bdbd421b_o.jpg,Palermo - Porto,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,35,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (35),CC BY SA 4.0,"Porto, barche, molo, banchina, navi, Palermo",Palermo,38.125501,13.368065,https://www.flickr.com/photos/biblioteca-comunale-palermo/24256637448
24408262328,https://farm5.staticflickr.com/4551/24408262328_9623ca9063_o.jpg,Nel porto di Palermo,Z.B.,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,42,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (42),CC BY SA 4.0,"Porto, barche, canottieri, navi, Palermo",Palermo,38.120284,13.369545,https://www.flickr.com/photos/biblioteca-comunale-palermo/24408262328
